class_id,frames_present,mean_iou,mean_dice
0,3652,0.8837973726580228,0.9307434868463736
1,3539,0.8469315267343169,0.8901159163442879
2,3652,0.9185537237681675,0.9531819914789035
3,2235,0.8577135548112453,0.9113889830421893
4,3111,0.9165424747087951,0.9519346659267368
5,2692,0.8295795987401083,0.897944189507012
6,1092,0.8555367401102856,0.9134564218450875
7,373,0.5474386356777149,0.6890035630029586
8,247,0.7726722229117855,0.8487320169039766
9,1329,0.8970116694487177,0.9347756154678758
10,3140,0.8959937086811424,0.9357325807779348
11,240,0.5540119180874342,0.6590309637241459
12,240,0.9637020771591565,0.9774650439715417
255,27,0.0,0.0
